timestamp,missing_items,snapshot
2026-03-31T18:49:31.216822,"helmet,vest",snapshots\violation_20260331_184931_helmet_vest.jpg
2026-03-31T18:49:32.388823,"helmet,vest",snapshots\violation_20260331_184932_helmet_vest.jpg
2026-03-31T18:49:33.483990,"helmet,vest",snapshots\violation_20260331_184933_helmet_vest.jpg
2026-03-31T18:49:34.237705,"helmet,vest",snapshots\violation_20260331_184934_helmet_vest.jpg
2026-03-31T18:49:34.365057,"helmet,vest",snapshots\violation_20260331_184934_helmet_vest.jpg
2026-03-31T18:49:34.494843,"helmet,vest",snapshots\violation_20260331_184934_helmet_vest.jpg
2026-03-31T18:49:34.619802,"helmet,vest",snapshots\violation_20260331_184934_helmet_vest.jpg
2026-03-31T18:49:35.002634,"helmet,vest",snapshots\violation_20260331_184934_helmet_vest.jpg
2026-03-31T18:49:35.125873,"helmet,vest",snapshots\violation_20260331_184935_helmet_vest.jpg
2026-03-31T18:49:35.489196,"helmet,vest",snapshots\violation_20260331_184935_helmet_vest.jpg
2026-03-31T18:49:35.978848,"helmet,vest",snapshots\violation_20260331_184935_helmet_vest.jpg
2026-03-31T18:49:36.227764,"helmet,vest",snapshots\violation_20260331_184936_helmet_vest.jpg
2026-03-31T18:49:36.355645,"helmet,vest",snapshots\violation_20260331_184936_helmet_vest.jpg
2026-03-31T18:49:36.484144,"helmet,vest",snapshots\violation_20260331_184936_helmet_vest.jpg
2026-03-31T18:49:37.424179,"helmet,vest",snapshots\violation_20260331_184937_helmet_vest.jpg
2026-03-31T18:49:37.662781,"helmet,vest",snapshots\violation_20260331_184937_helmet_vest.jpg
2026-03-31T18:49:37.803459,"helmet,vest",snapshots\violation_20260331_184937_helmet_vest.jpg
2026-03-31T18:49:37.922830,"helmet,vest",snapshots\violation_20260331_184937_helmet_vest.jpg
2026-03-31T18:49:38.047962,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.167127,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.307152,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.443287,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
2026-03-31T18:49:38.586746,"helmet,vest",snapshots\violation_20260331_184938_helmet_vest.jpg
